task_id,phase,task_code,title,description,status,priority,depends_on,estimated_hours,actual_hours,date_started,date_completed,notes
11,0,0.4.3,Configurare pytest markers,slow octave markers in pyproject.toml,done,medium,7,0.5,,2026-03-17,2026-03-17,Markers slow e octave definiti in pyproject.toml [tool.pytest.ini_options]
12,0,0.5.1,Classe astratta BaseParser,parsers/base.py con metodo parse(path) -> RawData,done,high,5,1,2026-03-18,2026-03-18,BaseParser ABC con parse/validate/@abstractmethod + parse_safe() — 6 test verdi,
13,0,0.5.2,Dataclass RawData — BaseData + BinData,"\""models/base_data.py BaseData + models/bin_data.py BinData (architettura multi-formato). RawData rinominata. dtype inline nel test — dtypes.py rinviato a Task 1.2.1\""",done,high,5,1.5,2026-03-18,2026-03-18,BaseData dataclass + BinData con properties (timestamps/pixels/global_signal/roi_signals/roi_signal) — 14 test verdi,
14,0,0.5.3,Dataclass Breath,models/breath.py: migrare da Flask valutare cosa tenere,todo,high,5,2,,,,RIMANDATO a Fase 4 — nasce dopo breath detection. Valutare Flask code quando arriva Task 3.1.x
17,0,0.6.1,Config dataclass base,config.py con sezioni parsing filtering lung_mask breath_detection peep features export,done,high,5,2,2026-03-18,2026-03-18,DeviceConfig completa (fs=50Hz n_electrodes=16 n_measurements=208 pixel_grid=(32x32) frame_size_base=4358 frame_size_ext=4382 con commenti byte breakdown). PreprocessingConfig e AnalysisConfig stub con pass + TODO Fase 4/5. Config con field(default_factory=) corretto. base_data.py: rimosso import Config — fs=50.0 hardcoded con commento. 20 test verdi ruff clean.,
18,0,0.6.2,Config preset default,Valori validati dalla letteratura per ogni parametro,todo,medium,17,1,,,,Citare paper per ogni default
19,0,0.6.3,Config preset sensitive e permissive,Preset ARDS e respiro spontaneo,todo,low,18,1,,,,
20,0,0.7.1,README base,Visione progetto installazione quickstart disclaimer,done,medium,5,1,,2026-03-17,2026-03-17,Badge license/python/status + differenziatori + installazione + quickstart placeholder + disclaimer
21,0,0.7.2,LICENSE file,Apache-2.0 license text,done,high,4,0.2,,2026-03-17,2026-03-17,LICENSE Apache-2.0 completo nel repo (201 righe)
22,0,0.7.3,CITATION.cff placeholder,Struttura base da completare dopo pubblicazione,todo,low,4,0.3,,,,
23,1,1.1.1,Funzione autodetect frame size,Prova 4358 e 4382 su file_size errore se nessuno divide,done,high,12,1,2026-03-20,2026-03-21,Implementata detect_bin_format_from_size() in parsers/detection.py. File reali: bin_formats.py (FormatSpec registry) + bin_utils.py + parsers/errors.py. Gestisce zero/uno/multi candidati con errori tipizzati. Tests in task 1.1.2.,
24,1,1.1.2,Test autodetect,File sintetici dimensioni corrette e incorrette,done,high,23,1,2026-03-21,2026-03-26,Coperti in test_parser_routing.py: bin detection/frame-size divisibility ambiguous unsupported-ext vendor-aliases tabular-timpel. .eit detection rimanda a 2.3.1 (NotImplementedError atteso).
25,1,1.2.1,Definire dtype frame base,numpy dtype strutturato per 4358 byte,done,high,23,2,2026-03-19,2026-03-19,dtypes.py: FRAME_BASE_DTYPE(4358b) FRAME_EXT_DTYPE(4382b) ts=<f8 min_max_flag+event_marker separati medibus_data=<f4(52). BinData aggiornato: timestamps/min_max_flags/event_markers. 20 test verdi in test_dtypes.py,
26,1,1.2.2,Implementare parse_bin versione veloce,np.fromfile con dtype per tutto il file,done,high,25,2,1.5,2026-03-21,2026-03-21,Implementata DragerBinParser.parse() con detect_bin_format_from_size + memmap slicing + stima fs da timestamp + sanitizzazione sentinels + estrazione medibus dict. Test core parser/data verdi.
27,1,1.2.3,Implementare parse_bin versione streaming,Generatore per file >500MB,todo,medium,26,2,,,,
28,1,1.3.1,Investigare padding 208 byte con file reale,Capire se contiene Medibus o altro,done,high,26,3,2026-03-19,2026-03-19,Confermato: 208 byte = 52 x float32 Medibus waveforms. Sentinel 0xFF7FC99E=-3.4e38 (MEDIBUS disconnesso). Vedi docs/reverse_eng/bin_format.md,
29,1,1.3.2,Investigare 24 byte extra frame esteso,Capire struttura 4382 vs 4358,done,high,28,2,2026-03-19,2026-03-20,2026-03-20 fix architetturale definitivo confermato da eitprocessing draeger.py (Apache-2.0): BASE(4358b) idx0-50 comuni+idx51=Tlow; EXT(4382b) idx0-50 comuni+idx51=PHigh+idx52=Plow+idx53=Tlow(spostato!)+idx54-57=Pod. I due formati NON sono BASE+6 extra: condividono solo idx0-50 e divergono da idx51. Struttura dtypes.py: _MEDIBUS_COMMON(51)+MEDIBUS_BASE_FIELDS(52)+MEDIBUS_EXT_FIELDS(58) separati con alias MEDIBUS_FIELDS=MEDIBUS_BASE_FIELDS e MEDIBUS_INDEX=MEDIBUS_BASE_INDEX. 22 test verdi.,
30,1,1.3.3,Implementare estrazione Medibus,Pressioni volumi flussi PEEP dal frame esteso,todo,high,29,3,,,,
31,1,1.3.4,Implementare estrazione PressurePod,4 waveform pressione continue,todo,medium,29,1,,,,
32,1,1.4.1,Procurarsi file .bin reale,Dal PulmoVista o dal collega,done,critical,,0,,2026-03-17,2026-03-17,File .bin reale disponibile (più varianti con e senza PressurePod)
33,1,1.4.2,Confronto pixel con output MATLAB collega,Frame 0 pixel 0 deve corrispondere,todo,high,32,2,,,,
34,1,1.4.3,Verificare timestamp crescenti plausibili,Controllare monotonia e range,done,high,32,1,2026-03-19,2026-03-19,ts[0]=0.7576=18:10:54 coincide col header .eit. Monotona=True. dt=0.0200s esatto (50Hz). Vedi bin_format.md §4.1,
35,1,1.4.4,Verificare pixel range ragionevole,No NaN no inf valori fisicamente sensati,done,high,32,1,2026-03-19,2026-03-19,shape (11500 32 32). min=-7.73 max=28.53. NaN=0 Inf=0. Cross-valida con .asc (stessa scala). Vedi bin_format.md §4.2,
36,1,1.4.5,Verificare Medibus valori clinici,PEEP pressioni volumi plausibili,done,high,30,1,2026-03-19,2026-03-19,MEDIBUS non connesso in questi file: sentinel -3.4e38. PressurePod attivo: Paw 10-38 mbar Pes 6-18 mbar Ptp -2/+25 mbar. Naming idx 54-57 da confermare. Vedi bin_format.md §4.3-4.4,
37,1,1.4.6,Documentare discrepanze trovate,Note su differenze con EIDORS/collega,todo,medium,33,1,,,,
38,1,1.5.1,Fixture pytest file sintetico base,conftest.py genera .bin 3 frame base valori noti,done,high,26,0.5,2026-03-26,2026-03-26,Fixture bin_3frames in tests/conftest.py. 3 frame FRAME_BASE_DTYPE 50Hz frame i→pixels=i+1. 152 test verdi.
39,1,1.5.2,Fixture pytest file sintetico esteso,conftest.py genera .bin 3 frame esteso valori noti,todo,high,30,1,,,,
40,1,1.5.3,Test conteggio frame,n_frames corretto per base e esteso,done,high,38,0.5,2026-03-26,2026-03-26,test_n_frames_from_fixture in test_bin_parser.py via bin_3frames fixture.
41,1,1.5.4,Test valori pixel,pixel[0][0] corrisponde al valore scritto,done,high,38,0.5,2026-03-26,2026-03-26,test_pixel_values_per_frame + test_pixel_specific_position in test_bin_parser.py.
42,1,1.5.5,Test timestamp,timestamp[i] corrisponde al valore scritto,done,high,38,0.5,2026-03-26,2026-03-26,test_timestamps_match_fixture + test_timestamps_monotonically_increasing in test_bin_parser.py.
43,1,1.5.6,Test event text,event_text leggibile e corretto,todo,medium,38,0.5,,,,
44,1,1.5.7,Test Medibus round-trip,Valori Medibus scritti = letti (frame esteso),todo,high,39,0.5,,,,
45,1,1.5.8,Test file troncato,Errore pulito con messaggio utile,todo,medium,38,0.5,,,,
46,1,1.5.9,Test file vuoto,Errore pulito,todo,medium,38,0.3,,,,
47,1,1.5.10,Test round-trip completo,Scrivi sintetico leggi verifica tutti i campi,done,high,38,0.5,2026-03-26,2026-03-26,test_roundtrip_via_load_data in test_bin_parser.py. Verifica n_frames/pixels/timestamps/metadata via load_data().
48,1,1.6.1,Script Octave cross-validazione .bin,Carica con eidors_readimg salva .mat,todo,low,32,2,,,,Richiede Octave installato
49,1,1.6.2,Test Python confronto .mat,scipy.io.loadmat confronto valori,todo,low,48,1,,,,
50,2,2.0.1,Scaricare EIDORS da SourceForge,Scaricare zip completo eidors-v3.x,done,critical,,1,,,2026-03-25,EIDORS source accessed via SourceForge in session agent
51,2,2.0.2,Trovare read_draeger_header in sorgente,eidors_readdata.m dopo riga 1402,done,critical,50,1,,,2026-03-25,read_draeger_header found and analyzed — notebook §1
52,2,2.0.3,Trovare read_draeger_file in sorgente,Stessa funzione altra subfunzione,done,critical,50,1,,,2026-03-25,read_draeger_file found and analyzed — notebook §5
53,2,2.0.4,Annotare read_draeger_header,Per ogni fread: offset tipo n_valori significato,done,high,51,3,,,2026-03-25,header fields documented in notebook §1 and §6
54,2,2.0.5a,Annotare read_draeger_file parte 1,Prima metà del codice: struttura frame header area iniziale e timing/contatore. Per ogni fread: offset tipo n_valori significato. Deliverable: sezione in docs/eidors_analysis.md,done,high,52,2,,,2026-03-25,"trans_A/B, injection_current, voltage_A/B documented — notebook §3/§5/§6"
55,2,2.0.6,Salvare note in docs/eidors_analysis.md,Documentazione comprensione formato NO copia codice GPL,todo,high,213,2,,,,
56,2,2.1.1,Procurarsi file .eit reale,Dal PulmoVista,done,critical,,0,,2026-03-17,2026-03-17,File .eit reale disponibile (più varianti con e senza PressurePod)
57,2,2.1.2,Hexdump primi 4KB,xxd file.eit | head -256 salvare in docs/reverse_eng/,done,high,56,1,2026-03-19,2026-03-19,Analisi hexdump inclusa in eit_format.ipynb. Binary start confermato a offset 7554 (p01) e 7546 (p02).,
58,2,2.1.3,Estrarre stringhe ASCII,strings file.eit | head -50 salvare,done,high,56,0.5,2026-03-19,2026-03-19,Header ASCII estratto e documentato in eit_format.ipynb: version 51 data ora frequenza gain etc.,
59,2,2.1.4,Identificare magic string,---Draeger EIT-Software--- nei primi byte,done,high,57,0.5,2026-03-19,2026-03-19,Magic string confermata: ---Draeger EIT-Software V1.30--- al byte 0x33 (dopo preamble 12 byte),
60,2,2.1.5,Parsare metadati header testuale,Data ora framerate versione ecc,done,high,59,2,2026-03-19,2026-03-19,Tutti i campi estratti in eit_format.ipynb: format=51 date/time freq=101.5kHz rate=50Hz gain=65 samples=508 periods=11,
61,2,2.1.6,Trovare fine header inizio dati binari,Byte offset dove finisce ASCII inizia binario,done,high,60,1,2026-03-19,2026-03-19,Determinato in task 2.1.2: offset 7554 (patient01) e 7546 (patient02). L'offset varia perché dipende dalla lunghezza dell'header ASCII. Algoritmo: scan forward fino al primo byte non-ASCII dopo i metadati.,
62,2,2.1.7,Confrontare con read_draeger_header EIDORS,Verifica corrispondenza findings vs codice,done,high,61,1,,,2026-03-25,EIDORS read_draeger_header compared in detail — notebook §1 and §5
63,2,2.1.8,Salvare header decodificato,docs/reverse_eng/03_header_parsed.txt,done,medium,60,0.5,,,2026-03-25,header decoded in notebook cell 7 (parse_header + redact_header)
64,2,2.2.1a,Documentare layout frame parte 1,Area tensioni primarie e correnti iniezione: offset 0-321. Tabella byte-per-byte per ogni campo. Deliverable: prima metà tabella in docs/eit_format.md,done,high,55,2,,,2026-03-25,frame layout table (all 5495 bytes) documented — notebook §3
65,2,2.2.2,Calcolare dimensione frame,Verificare con file_size - header_size,done,high,214,1,,,2026-03-25,5495 bytes/frame confirmed on all 3 test files — notebook §2
66,2,2.2.3,Creare diagramma byte-per-byte,Per docs/eit_format.md,todo,medium,64,2,,,,
67,2,2.3.1,Implementare parse_eit_header,Leggere header ASCII estrarre metadata,done,high,61,3,2026-03-27,2026-03-27,Implementato in eit_utils.py::parse_eit_header()
68,2,2.3.2,Implementare autodetect formato,Draeger vs Carefusion dal magic string,done,medium,67,1,2026-03-27,2026-03-27,Implementato in detection.py::detect_vendor_from_eit_header() + header_formats.py registry
69,2,2.3.3,Test header parsing,File reale header parsato correttamente,todo,high,67,1,,,,
70,2,2.4.1a,Implementare parse_eit_frames apertura e loop,Apertura file da header_size. Loop frame. Estrazione v_primary e v_secondary per ogni frame con numpy o struct. Deliverable: funzione che itera i frame e restituisce raw voltages,done,high,65,2,2026-03-27,2026-03-27,Implementato in eit_parser.py con np.memmap + FRAME_EIT_DTYPE
71,2,2.4.2,Implementare calcolo transimpedenze,vv = ft[0]*primary - ft[1]*secondary,done,high,215,2,2026-03-27,2026-03-27,vv=FT_A*trans_A-FT_B*trans_B + I_real + V_diff in eit_parser.py step 5
72,2,2.4.3,Implementare versione numpy veloce,dtype strutturato per tutto il file,done,medium,70,2,2026-03-27,2026-03-27,FRAME_EIT_DTYPE 5495B strutturato in eit_dtypes.py; np.memmap in parser
73,2,2.4.4,Implementare versione streaming,Per file grandi,todo,low,70,2,,,,
74,2,2.5.1,Metodo to_pyeit_format,(208 N_frames) -> (N_frames 208),done,medium,71,1,2026-03-27,2026-03-27,measurements già shape (N_frames,208) — nessuna trasposizione necessaria
75,2,2.5.2,Documentare pattern stimolazione,Adjacent drive 16 elettrodi 5mA rotate_meas,done,medium,74,0.5,,2026-03-27,Documented in docs/parsers.md §3 + std/fmmu ordering note. Empirical test in notebook §9.
76,2,2.6.1,Script Octave cross-validazione .eit,eidors_readdata DRAEGER-EIT salva .mat,todo,medium,71,2,,,,Richiede Octave
77,2,2.6.2,Confronto Python vs EIDORS,rtol=1e-4 documentare differenze,todo,medium,76,2,,,,
78,2,2.7.1,Test header parsing corretto,Framerate data corretti,todo,high,67,0.5,,,,
79,2,2.7.2,Test numero frame coerente,N_frames = durata x framerate,todo,high,71,0.5,,,,
80,2,2.7.3,Test transimpedenze range plausibile,Ordine millivolt,todo,high,71,0.5,,,,
81,2,2.7.4,Test timestamp crescenti,Monotonia,todo,high,71,0.5,,,,
82,2,2.7.5,Test file non-Draeger errore,Magic string assente -> errore chiaro,todo,medium,67,0.5,,,,
83,2,2.7.6,Test file troncato errore,Errore pulito con posizione,todo,medium,71,0.5,,,,
84,2,2.8.1a,docs/eit_format.md parte 1,Sezione header ASCII (magic string struttura metadati) e tabella layout frame binario (offset tipo n_bytes significato). Deliverable: prima metà del documento pubblicabile,todo,high,66,2,,,,Deliverable pubblicabile
85,2,2.8.2,Valutare pubblicazione Zenodo con DOI,Per rendere citabile indipendentemente,todo,low,216,1,,,,
86,3,3.1.1,Portare file Flask backend per valutazione,Caricare in conversazione Claude per review,todo,critical,,1,,,,
87,3,3.1.2,Identificare mapping nomi colonne inglese,Lista colonne PulmoVista -> snake_case,todo,high,86,1,,,,Valore alto da preservare. File reale è .asc con encoding latin-1 (non .txt/.csv)
88,3,3.1.3,Identificare classi riusabili,Breath BreathAnalyzer ecc dal Flask,todo,high,86,1,,,,
89,3,3.1.4,Decidere cosa tenere/refactorare/riscrivere,Valutazione per ogni pezzo,todo,high,88,1,,,,
90,3,3.2.1,Documentare formato CSV/TXT PulmoVista,Separatore header colonne unità encoding,todo,high,87,2,,,,
91,3,3.2.2,Documentare varianti firmware,Differenze tra versioni PulmoVista,todo,medium,90,1,,,,
92,3,3.3.1,Refactor parser CSV in csv_parser.py,Dalla codebase Flask ripulito e strutturato,done,high,89,3,1.5,2026-03-21,2026-03-21,DragerAscParser completo in parsers/draeger/asc/asc_parser.py: detect_vendor_from_tabular + header metadata + waveform table + snake_case cols + fs estimation. Registrato in loader.py per .asc/.txt/.csv. Timpel e advanced col mapping sono task separate (3.x).
93,3,3.3.2,Gestione encoding,UTF-8 Latin-1 autodetect,todo,medium,92,1,,,,
94,3,3.4.1,Test CSV sintetico,File sintetico valori noti,todo,high,92,1,,,,
95,3,3.4.2,Test CSV reale,File reale se disponibile,todo,medium,92,1,,,,
244,4,4.0.1,Implementare sentinel replacement nel preprocessing layer,"\""Prima operazione di ogni pipeline di preprocessing: copiare memmap in RAM e applicare replace_no_data_sentinels su pixels e medibus_data. Questo è il confine netto tra parsing lazy e preprocessing eager.\""",todo,high,,1,,,,Prima task quando Fase 4 apre. bin_utils.replace_no_data_sentinels già esiste.
96,4,4.1.1,Implementare butterworth_lowpass,cutoff=0.5Hz order=4 sosfiltfilt zero-phase,todo,high,13,2,,,,Citare Wisse 2024
97,4,4.1.2,Implementare butterworth_bandpass e highpass,Opzionali,todo,low,96,1,,,,
98,4,4.1.3,Test filtro sintetico,Cuore 1.2Hz + respiro 0.3Hz cuore attenuato >90%,todo,high,96,1,,,,
99,4,4.2.1,Implementare MDN filter,Multiple Digital Notch come Wisse 2024,todo,low,96,4,,,,Post-v1
100,BACKLOG,4.3.1,Implementare filtro perfusione banda 1-3Hz,Per componente cardiaca pixel-per-pixel,todo,low,96,3,,,,Fuori scope — solo ventilazione
101,4,4.4.1,Implementare lung mask threshold,TIV per pixel soglia 20% max o percentile config,todo,high,96,2,,,,Citare Zhao 2010 TREND 2017
102,4,4.4.2,Implementare lung mask Otsu,Soglia automatica zero config,todo,medium,101,1,,,,
103,4,4.4.3,Test lung mask sintetica,Immagine con polmone e background mask corretta,todo,high,101,1,,,,
104,4,4.5.1,Implementare lung mask LAEM,Soglia 50% simmetrizzazione sottrazione cardiaca,todo,low,101,3,,,,Opzione avanzata Zhao 2016
105,4,4.6.1,Implementare lung mask Watershed,scipy.ndimage Watershed,todo,low,101,3,,,,Opzione avanzata Somhorst 2026
106,4,4.7.1,Morphological closing,scipy.ndimage.binary_closing per chiudere buchi,todo,medium,101,1,,,,
107,4,4.7.2,Rimozione componenti piccole,scipy.ndimage.label + filtro area,todo,medium,106,1,,,,
108,4,4.7.3,Opzionale forzamento simmetria,Per detectare artefatti contatto elettrodo,todo,low,107,1,,,,
109,4,4.8.1,ROI fisse standard,4 fasce 2 metà 4 quadranti 8 sub-ROI,todo,high,101,2,,,,
110,4,4.8.2,ROI adattive Summers,Divide zona ventilata in 4 parti uguali adattandosi al contour,todo,medium,109,3,,,,
111,4,4.8.3,Intersezione ROI con lung mask,roi & lung_mask per ogni ROI,todo,high,109,0.5,,,,
112,4,4.8.4,Conteggio ventilated pixels per ROI,N pixel ventilati in ogni ROI,todo,medium,111,0.5,,,,
113,4,4.9.1,Impedenza globale,Somma pixel in lung_mask per frame,todo,high,101,1,,,,
114,4,4.9.2,Impedenza regionale per ROI,Dict di segnali regionali,todo,medium,113,1,,,,
115,4,4.10.1,Pre-filtering per breath detection,Passa-banda 0.1-1.5Hz prima di find_peaks,todo,high,113,1,,,,Miglioramento vs collega
116,4,4.10.2,Implementare find_peaks inspiratorio,find_peaks con prominence distance width adattivi,todo,high,115,2,,,,
117,4,4.10.3,Implementare find_peaks espiratorio,find_peaks(-signal) per valleys,todo,high,116,1,,,,
118,4,4.10.4,Assemblare breath tuples,(idx_start idx_peak idx_end) per ogni breath,todo,high,117,1,,,,
119,4,4.10.5,Parametri tunabili breath detection,min/max duration min_prominence in Config,todo,high,118,1,,,,
120,4,4.10.6,Test breath sinusoidale,Segnale noto breath detection corretta,todo,high,118,1,,,,
121,4,4.10.7,Test breath con artefatto,Artefatto escluso o flaggato,todo,medium,118,1,,,,
122,4,4.10.8,Test respiro spontaneo irregolare,Detection ragionevole su segnale variabile,todo,medium,118,1,,,,
123,4,4.11.1,Implementare quality flags,ok short_breath long_breath artifact low_signal suspect_ti_ratio negative_delta_z,todo,high,118,2,,,,
124,4,4.11.2,Flag = classificazione non scarto,Breath flaggati restano come da_valutare,todo,high,123,0.5,,,,
125,4,4.12.1,Config preset default per preprocessing,Valori evidence-based con citazione,todo,high,119,1,,,,
126,4,4.12.2,Config preset sensitive e permissive,Per ARDS e respiro spontaneo,todo,medium,125,1,,,,
127,4,4.13.1,Pipeline Session.from_raw integrato,Sequenza completa: filtro mask ROI impedenza breath flags,todo,high,124,3,,,,
128,4,4.13.2,Step intermedi accessibili,session.lung_mask session.global_impedance ecc,todo,high,127,1,,,,
129,4,4.13.3,Test end-to-end preprocessing sintetico,Dati sintetici attraverso tutto il pipeline,todo,high,127,2,,,,
130,5,5.1.1,Implementare compute_eeli,EELI globale e per ROI per breath,todo,high,127,2,,,,Citare Frerichs 2017
131,5,5.1.2,Implementare compute_tiv,TIV globale e per ROI per breath,todo,high,127,2,,,,Citare Frerichs 2017
132,5,5.1.3,Implementare compute_gi_index,GI = sum|DI-median|/sum|DI|,todo,high,131,2,,,,Citare Zhao 2009
133,5,5.1.4,Implementare compute_cov,"\""CoV_VD (ventro-dorsale) e CoV_LR (sinistra-destra). Delphi 2025 cita entrambe come standard\""",todo,high,131,1.5,,,,Citare Frerichs 2006 + He H 2025 PMID 41158153
134,5,5.1.5,Implementare compute_cv,Coefficient of variation TIV pixel,todo,medium,131,1,,,,
135,5,5.1.6,Implementare durate breath,Ti Te Ttot Ti/Ttot freq respiratoria,todo,high,118,1,,,,
136,5,5.1.7,Implementare compliance dinamica,TIV/driving_pressure se Medibus disponibile,todo,medium,131,1,,,,
137,5,5.1.8,Test features globali sintetiche,Valori calcolabili a mano verificati,todo,high,134,2,,,,
138,5,5.2.1,Implementare EELI regionale per ROI,Per halves quadrants sub-ROI,todo,high,130,2,,,,
139,5,5.2.2,Implementare TIV regionale per ROI,Idem,todo,high,131,1,,,,
140,5,5.2.3,Implementare % ventilazione regionale,TIV_ROI/TIV_global x 100,todo,high,139,0.5,,,,
141,5,5.2.4,Implementare V/D ratio,TIV ventrale / TIV dorsale,todo,high,139,0.5,,,,
142,5,5.2.5,Implementare silent spaces,Spadaro 2018: pixel < 10% max TIV ventral/dorsal %,todo,high,139,1,,,,
143,5,5.2.6,Implementare compliance regionale,Per ROI se driving_pressure disponibile,todo,medium,139,1,,,,
144,5,5.2.7,Test features regionali,Valori noti sintetici,todo,high,142,2,,,,
145,5,5.3.1,Implementare delta Z pixel per pixel,np.max - np.min vettorizzato per breath,todo,high,131,1,,,,
146,5,5.3.2,"\""Implementare RVD e SDRVD\""","\""Metodo t40 (40% del ΔZ tidale) per RVD pixel-wise. SDRVD = SD(RVD) nella lung_mask. NON usare np.argmax (tempo al picco) che sovrastima il delay\""",todo,medium,145,2,,,,Citare Muders 2012 + Delphi 2025 per SDRVD
147,5,5.3.3,Implementare fEIT images,SD pixel durante ventilazione tidale,todo,medium,145,1,,,,
148,5,5.3.4,Implementare ITV metodo Lowhagen,8 iso-volumi distribuzione regionale,todo,low,145,4,,,,Post-v1
149,5,5.3.5,Implementare OD/CL metodo Costa,Compliance pixel-wise a diversi PEEP,todo,low,145,4,,,,Post-v1 citare Costa 2009
150,5,5.4.1,Implementare pendelluft index,Yoshida 2013,todo,low,145,3,,,,Post-v1
151,5,5.4.2,Implementare strain index,Feature avanzata,todo,low,145,3,,,,Post-v1
152,5,5.5.1,Implementare feature registry,Decoratore @register_feature per custom features,todo,medium,130,2,,,,
153,5,5.6.1,Breath dataclass completa,Tutti gli attributi feature + to_dict(),todo,high,137,2,,,,
154,5,5.6.2,PeepStep dataclass completa,Aggregazione features per step,todo,high,153,1,,,,
156,5,5.7.2,PEEP detection Livello 2 EELI experimental,Derivata EELI smoothato soglia segmenti stabili,todo,high,113,3,,,,Marcare experimental warning
157,5,5.7.3,Logica cascading L1 -> L2,Medibus disponibile usa L1 altrimenti L2 con warning,todo,high,156,1,,,,
158,5,5.7.4,Flag peep_stable peep_transition peep_step_id,Per ogni breath,todo,high,157,1,,,,
159,5,5.7.5,Parametri tunabili PEEP detection,smoothing_window step_threshold min_duration in Config,todo,high,156,1,,,,
160,5,5.8.1,PEEP aggregation per step,Mediana IQR min max n_breaths per feature per step,todo,high,158,2,,,,Dalla vecchia roadmap
161,5,5.8.2,Esclusione transitorio post-cambio PEEP,Primi N breath configurabili esclusi,todo,high,160,1,,,,
162,5,5.8.3,Flag stabilità step,Segnala step instabile se variabilità alta,todo,medium,160,1,,,,
163,5,5.9.1,Trend temporali breath-per-breath,EELI TIV GI CoV come serie temporale,todo,medium,131,2,,,,Dalla vecchia roadmap
164,5,5.10.1,Design validation study PEEP L2,Protocollo: >=30 registrazioni Medibus+EELI metriche Bland-Altman,todo,medium,157,2,,,,Non software pianificazione studio
165,5,5.11.1,Test GI=0 ventilazione omogenea,Sintetico tutti pixel uguali GI deve essere 0,todo,high,132,0.5,,,,
166,5,5.11.2,Test CoV=0.5 distribuzione simmetrica,Sintetico V=D CoV deve essere 0.5,todo,high,133,0.5,,,,
167,5,5.11.3,Test silent_spaces=0 tutto sopra soglia,Sintetico tutti pixel > soglia SS=0%,todo,high,142,0.5,,,,
168,6,6.1.1,Implementare Session.to_dataframe,Assembla Breath in DataFrame 1 riga per respiro,todo,high,153,2,,,,
169,6,6.1.2,Colonne complete da reference doc,Tutte le features + metadata + quality_flag + peep_step_id,todo,high,168,1,,,,Vedi sezione 4.1 reference doc
170,6,6.1.3,Formato tidyverse compatibile,snake_case nomi coerenti,todo,medium,168,0.5,,,,
171,6,6.2.1,Implementare Session.save HDF5,Salva frames tidal_images lung_mask in .h5,todo,high,168,2,,,,h5py
172,6,6.2.2,Struttura HDF5 definita,/frames /tidal_images /lung_mask /metadata,todo,high,171,1,,,,
173,6,6.3.1,Implementare Study.from_folder,Processa tutti i file in cartella,todo,high,168,2,,,,
174,6,6.3.2,Estrazione patient_id da filename regex,Pattern configurabile,todo,medium,173,1,,,,
175,6,6.3.3,Implementare Study.to_dataframe,Con patient_id + session_id,todo,high,173,1,,,,
176,6,6.4.1,Export CSV,to_csv per R e Excel,todo,high,168,1,,,,
177,6,6.4.2,Export Parquet,to_parquet per Python e ML,todo,high,168,1,,,,
178,6,6.4.3,Export Excel,to_excel openpyxl opzionale,todo,low,168,1,,,,
179,6,6.4.4,Export per PEEP step,1 riga per step mediana IQR,todo,high,160,1,,,,
180,6,6.4.5,Export trend,Serie temporale breath-per-breath,todo,medium,163,1,,,,
